Statename,State,FIPS,COUNTY,checker,plumbing,total,rank
Montana,MT,30015,Chouteau County,"Chouteau County, Montana",0.455,2196,1686
Missouri,MO,29061,Daviess County,"Daviess County, Missouri",0.455,3078,1687
Pennsylvania,PA,42001,Adams County,"Adams County, Pennsylvania",0.454,38291,1688
Kansas,KS,20197,Wabaunsee County,"Wabaunsee County, Kansas",0.454,2642,1689
Alabama,AL,1049,DeKalb County,"DeKalb County, Alabama",0.454,25550,1690
Arkansas,AR,5075,Lawrence County,"Lawrence County, Arkansas",0.454,6609,1691
Mississippi,MS,28111,Perry County,"Perry County, Mississippi",0.454,4629,1692
Texas,TX,48361,Orange County,"Orange County, Texas",0.453,31105,1693
Louisiana,LA,22079,Rapides Parish,"Rapides Parish, Louisiana",0.453,47441,1694
Virginia,VA,51099,King George County,"King George County, Virginia",0.453,8166,1695
Nebraska,NE,31041,Custer County,"Custer County, Nebraska",0.453,4636,1696
West Virginia,WV,54107,Wood County,"Wood County, West Virginia",0.453,35783,1697
Oklahoma,OK,40147,Washington County,"Washington County, Oklahoma",0.452,21442,1698
Georgia,GA,13179,Liberty County,"Liberty County, Georgia",0.452,22991,1699
Kansas,KS,20133,Neosho County,"Neosho County, Kansas",0.452,6637,1700
Oklahoma,OK,40057,Harmon County,"Harmon County, Oklahoma",0.452,1107,1701
Missouri,MO,29131,Miller County,"Miller County, Missouri",0.452,10188,1702
New York,NY,36109,Tompkins County,"Tompkins County, New York",0.451,38545,1703
Tennessee,TN,47031,Coffee County,"Coffee County, Tennessee",0.451,21056,1704
Nebraska,NE,31107,Knox County,"Knox County, Nebraska",0.451,3768,1705
California,CA,6083,Santa Barbara County,"Santa Barbara County, California",0.451,141247,1706
Kansas,KS,20009,Barton County,"Barton County, Kansas",0.451,11310,1707
Kentucky,KY,21151,Madison County,"Madison County, Kentucky",0.451,31281,1708
South Carolina,SC,45021,Cherokee County,"Cherokee County, South Carolina",0.450,21100,1709
Michigan,MI,26003,Alger County,"Alger County, Michigan",0.450,3558,1710
Georgia,GA,13185,Lowndes County,"Lowndes County, Georgia",0.450,39369,1711
Virginia,VA,51800,Suffolk city,"Suffolk city, Virginia",0.449,30502,1712
California,CA,6071,San Bernardino County,"San Bernardino County, California",0.449,599698,1713
California,CA,6065,Riverside County,"Riverside County, California",0.449,676618,1714
Arkansas,AR,5097,Montgomery County,"Montgomery County, Arkansas",0.448,3797,1715
New York,NY,36103,Suffolk County,"Suffolk County, New York",0.448,496349,1716
Missouri,MO,29127,Marion County,"Marion County, Missouri",0.447,11180,1717
Louisiana,LA,22053,Jefferson Davis Parish,"Jefferson Davis Parish, Louisiana",0.446,11874,1718
Ohio,OH,39053,Gallia County,"Gallia County, Ohio",0.446,11885,1719
New Mexico,NM,35051,Sierra County,"Sierra County, New Mexico",0.446,4261,1720
Virginia,VA,51710,Norfolk city,"Norfolk city, Virginia",0.446,85247,1721
Mississippi,MS,28015,Carroll County,"Carroll County, Mississippi",0.446,3814,1722
Idaho,ID,16019,Bonneville County,"Bonneville County, Idaho",0.445,35919,1723
California,CA,6055,Napa County,"Napa County, California",0.445,49209,1724
South Carolina,SC,45031,Darlington County,"Darlington County, South Carolina",0.445,26525,1725
North Carolina,NC,37195,Wilson County,"Wilson County, North Carolina",0.445,31932,1726
Kansas,KS,20057,Ford County,"Ford County, Kansas",0.445,11019,1727
Indiana,IN,18081,Johnson County,"Johnson County, Indiana",0.445,51952,1728
North Dakota,ND,38097,Traill County,"Traill County, North Dakota",0.445,3374,1729
New Mexico,NM,35061,Valencia County,"Valencia County, New Mexico",0.445,27446,1730
Oklahoma,OK,40047,Garfield County,"Garfield County, Oklahoma",0.444,23859,1731
Oklahoma,OK,40105,Nowata County,"Nowata County, Oklahoma",0.444,4053,1732
New York,NY,36083,Rensselaer County,"Rensselaer County, New York",0.444,63952,1733
South Dakota,SD,46103,Pennington County,"Pennington County, South Dakota",0.444,40543,1734
Mississippi,MS,28087,Lowndes County,"Lowndes County, Mississippi",0.444,23429,1735
Mississippi,MS,28109,Pearl River County,"Pearl River County, Mississippi",0.443,20519,1736
Nebraska,NE,31139,Pierce County,"Pierce County, Nebraska",0.443,2935,1737
New Mexico,NM,35025,Lea County,"Lea County, New Mexico",0.443,21002,1738
Missouri,MO,29195,Saline County,"Saline County, Missouri",0.443,8811,1739
Michigan,MI,26135,Oscoda County,"Oscoda County, Michigan",0.442,3842,1740
Maine,ME,23001,Androscoggin County,"Androscoggin County, Maine",0.442,44154,1741
Kansas,KS,20025,Clark County,"Clark County, Kansas",0.442,906,1742
California,CA,6077,San Joaquin County,"San Joaquin County, California",0.441,213632,1743
Virginia,VA,51033,Caroline County,"Caroline County, Virginia",0.441,10649,1744
Wyoming,WY,56025,Natrona County,"Natrona County, Wyoming",0.441,30406,1745
Tennessee,TN,47145,Roane County,"Roane County, Tennessee",0.441,22468,1746
Alabama,AL,1113,Russell County,"Russell County, Alabama",0.440,20904,1747
Nebraska,NE,31173,Thurston County,"Thurston County, Nebraska",0.440,2045,1748
Georgia,GA,13285,Troup County,"Troup County, Georgia",0.440,24554,1749
Florida,FL,12051,Hendry County,"Hendry County, Florida",0.440,10920,1750
Louisiana,LA,22005,Ascension Parish,"Ascension Parish, Louisiana",0.439,37331,1751
North Carolina,NC,37103,Jones County,"Jones County, North Carolina",0.439,4098,1752
Georgia,GA,13117,Forsyth County,"Forsyth County, Georgia",0.439,56694,1753
New Mexico,NM,35023,Hidalgo County,"Hidalgo County, New Mexico",0.439,1824,1754
Illinois,IL,17127,Massac County,"Massac County, Illinois",0.439,6157,1755
Texas,TX,48345,Motley County,"Motley County, Texas",0.438,457,1756
Nebraska,NE,31145,Red Willow County,"Red Willow County, Nebraska",0.438,4799,1757
Louisiana,LA,22113,Vermilion Parish,"Vermilion Parish, Louisiana",0.437,21948,1758
Missouri,MO,29047,Clay County,"Clay County, Missouri",0.437,86701,1759
Louisiana,LA,22047,Iberville Parish,"Iberville Parish, Louisiana",0.437,10982,1760
Oklahoma,OK,40131,Rogers County,"Rogers County, Oklahoma",0.437,32526,1761
Oregon,OR,41063,Wallowa County,"Wallowa County, Oregon",0.436,2980,1762
Minnesota,MN,27093,Meeker County,"Meeker County, Minnesota",0.436,9402,1763
Virginia,VA,51047,Culpeper County,"Culpeper County, Virginia",0.436,15826,1764
Mississippi,MS,28009,Benton County,"Benton County, Mississippi",0.436,3213,1765
Virginia,VA,51089,Henry County,"Henry County, Virginia",0.435,22734,1766
South Dakota,SD,46123,Tripp County,"Tripp County, South Dakota",0.435,2528,1767
Rhode Island,RI,44003,Kent County,"Kent County, Rhode Island",0.435,68722,1768
Arkansas,AR,5113,Polk County,"Polk County, Arkansas",0.435,8050,1769
Texas,TX,48057,Calhoun County,"Calhoun County, Texas",0.434,7827,1770
Colorado,CO,8051,Gunnison County,"Gunnison County, Colorado",0.434,6447,1771
Mississippi,MS,28153,Wayne County,"Wayne County, Mississippi",0.434,8296,1772
Wisconsin,WI,55017,Chippewa County,"Chippewa County, Wisconsin",0.434,24436,1773
Idaho,ID,16045,Gem County,"Gem County, Idaho",0.434,6456,1774
Virginia,VA,51550,Chesapeake city,"Chesapeake city, Virginia",0.433,79380,1775
New Jersey,NJ,34031,Passaic County,"Passaic County, New Jersey",0.433,162065,1776
Texas,TX,48233,Hutchinson County,"Hutchinson County, Texas",0.433,8318,1777
Louisiana,LA,22011,Beauregard Parish,"Beauregard Parish, Louisiana",0.432,12960,1778
Iowa,IA,19013,Black Hawk County,"Black Hawk County, Iowa",0.431,52150,1779
Louisiana,LA,22111,Union Parish,"Union Parish, Louisiana",0.431,8356,1780
Illinois,IL,17001,Adams County,"Adams County, Illinois",0.431,26700,1781
Missouri,MO,29105,Laclede County,"Laclede County, Missouri",0.431,14169,1782
Oklahoma,OK,40009,Beckham County,"Beckham County, Oklahoma",0.430,7898,1783
Missouri,MO,29171,Putnam County,"Putnam County, Missouri",0.430,2324,1784
Ohio,OH,39071,Highland County,"Highland County, Ohio",0.430,16969,1785
New Jersey,NJ,34025,Monmouth County,"Monmouth County, New Jersey",0.430,233661,1786
Connecticut,CT,9001,Fairfield County,"Fairfield County, Connecticut",0.430,332968,1787
Oklahoma,OK,40085,Love County,"Love County, Oklahoma",0.430,3492,1788
Montana,MT,30057,Madison County,"Madison County, Montana",0.429,3726,1789
Oregon,OR,41053,Polk County,"Polk County, Oregon",0.429,27973,1790
Louisiana,LA,22091,St. Helena Parish,"St. Helena Parish, Louisiana",0.428,4202,1791
Illinois,IL,17009,Brown County,"Brown County, Illinois",0.428,2105,1792
Massachusetts,MA,25021,Norfolk County,"Norfolk County, Massachusetts",0.427,257138,1793
Kentucky,KY,21119,Knott County,"Knott County, Kentucky",0.427,5855,1794
Colorado,CO,8031,Denver County,"Denver County, Colorado",0.427,261836,1795
Tennessee,TN,47107,McMinn County,"McMinn County, Tennessee",0.427,20612,1796
Washington,WA,53053,Pierce County,"Pierce County, Washington",0.426,299334,1797
Indiana,IN,18003,Allen County,"Allen County, Indiana",0.426,137197,1798
Florida,FL,12111,St. Lucie County,"St. Lucie County, Florida",0.425,104470,1799
Arkansas,AR,5051,Garland County,"Garland County, Arkansas",0.425,39791,1800
Arkansas,AR,5005,Baxter County,"Baxter County, Arkansas",0.425,18137,1801
North Carolina,NC,37071,Gaston County,"Gaston County, North Carolina",0.424,79234,1802
Florida,FL,12055,Highlands County,"Highlands County, Florida",0.424,39857,1803
Alabama,AL,1107,Pickens County,"Pickens County, Alabama",0.424,8022,1804
New Jersey,NJ,34007,Camden County,"Camden County, New Jersey",0.424,188861,1805
Wisconsin,WI,55079,Milwaukee County,"Milwaukee County, Wisconsin",0.423,379711,1806
Minnesota,MN,27135,Roseau County,"Roseau County, Minnesota",0.423,6380,1807
Oregon,OR,41029,Jackson County,"Jackson County, Oregon",0.422,83370,1808
Kentucky,KY,21141,Logan County,"Logan County, Kentucky",0.422,10899,1809
Georgia,GA,13215,Muscogee County,"Muscogee County, Georgia",0.421,72182,1810
Indiana,IN,18147,Spencer County,"Spencer County, Indiana",0.421,8084,1811
Mississippi,MS,28027,Coahoma County,"Coahoma County, Mississippi",0.420,9276,1812
Louisiana,LA,22017,Caddo Parish,"Caddo Parish, Louisiana",0.420,98284,1813
Massachusetts,MA,25009,Essex County,"Essex County, Massachusetts",0.420,285144,1814
Iowa,IA,19079,Hamilton County,"Hamilton County, Iowa",0.420,6427,1815
Pennsylvania,PA,42029,Chester County,"Chester County, Pennsylvania",0.419,183793,1816
Kansas,KS,20061,Geary County,"Geary County, Kansas",0.419,12180,1817
Oregon,OR,41041,Lincoln County,"Lincoln County, Oregon",0.418,21039,1818
Oregon,OR,41005,Clackamas County,"Clackamas County, Oregon",0.418,145004,1819
Texas,TX,48297,Live Oak County,"Live Oak County, Texas",0.418,3829,1820
Georgia,GA,13291,Union County,"Union County, Georgia",0.418,9336,1821
New Hampshire,NH,33011,Hillsborough County,"Hillsborough County, New Hampshire",0.418,153747,1822
Georgia,GA,13233,Polk County,"Polk County, Georgia",0.417,14633,1823
Florida,FL,12129,Wakulla County,"Wakulla County, Florida",0.416,10582,1824
Iowa,IA,19123,Mahaska County,"Mahaska County, Iowa",0.416,8901,1825
North Carolina,NC,37051,Cumberland County,"Cumberland County, North Carolina",0.415,119723,1826
Minnesota,MN,27009,Benton County,"Benton County, Minnesota",0.415,15421,1827
Colorado,CO,8039,Elbert County,"Elbert County, Colorado",0.415,8195,1828
Georgia,GA,13091,Dodge County,"Dodge County, Georgia",0.415,8198,1829
Idaho,ID,16079,Shoshone County,"Shoshone County, Idaho",0.414,5791,1830
Minnesota,MN,27145,Stearns County,"Stearns County, Minnesota",0.414,56467,1831
Louisiana,LA,22115,Vernon Parish,"Vernon Parish, Louisiana",0.414,18100,1832
Ohio,OH,39113,Montgomery County,"Montgomery County, Ohio",0.414,222892,1833
Virginia,VA,51133,Northumberland County,"Northumberland County, Virginia",0.414,5557,1834
Wisconsin,WI,55025,Dane County,"Dane County, Wisconsin",0.414,204008,1835
Wisconsin,WI,55139,Winnebago County,"Winnebago County, Wisconsin",0.413,67232,1836
Missouri,MO,29057,Dade County,"Dade County, Missouri",0.413,3144,1837
Michigan,MI,26045,Eaton County,"Eaton County, Michigan",0.413,43300,1838
Ohio,OH,39043,Erie County,"Erie County, Ohio",0.413,31712,1839
Illinois,IL,17115,Macon County,"Macon County, Illinois",0.413,45074,1840
Missouri,MO,29173,Ralls County,"Ralls County, Missouri",0.413,4121,1841
Ohio,OH,39151,Stark County,"Stark County, Ohio",0.413,150299,1842
West Virginia,WV,54051,Marshall County,"Marshall County, West Virginia",0.412,14068,1843
Minnesota,MN,27173,Yellow Medicine County,"Yellow Medicine County, Minnesota",0.412,4125,1844
Texas,TX,48157,Fort Bend County,"Fort Bend County, Texas",0.412,184182,1845
Texas,TX,48019,Bandera County,"Bandera County, Texas",0.412,8495,1846
Pennsylvania,PA,42049,Erie County,"Erie County, Pennsylvania",0.412,109006,1847
Pennsylvania,PA,42013,Blair County,"Blair County, Pennsylvania",0.412,51490,1848
Arkansas,AR,5069,Jefferson County,"Jefferson County, Arkansas",0.411,28207,1849
Kentucky,KY,21073,Franklin County,"Franklin County, Kentucky",0.411,20948,1850
Georgia,GA,13181,Lincoln County,"Lincoln County, Georgia",0.410,3412,1851
California,CA,6085,Santa Clara County,"Santa Clara County, California",0.410,604455,1852
Oklahoma,OK,40109,Oklahoma County,"Oklahoma County, Oklahoma",0.409,283168,1853
North Carolina,NC,37043,Clay County,"Clay County, North Carolina",0.409,4400,1854
New Jersey,NJ,34005,Burlington County,"Burlington County, New Jersey",0.409,165620,1855
Indiana,IN,18083,Knox County,"Knox County, Indiana",0.409,14923,1856
Nebraska,NE,31021,Burt County,"Burt County, Nebraska",0.408,2938,1857
Illinois,IL,17053,Ford County,"Ford County, Illinois",0.408,5632,1858
New Hampshire,NH,33015,Rockingham COunty,"Rockingham COunty, New Hampshire",0.408,115552,1859
Utah,UT,49041,Sevier County,"Sevier County, Utah",0.407,7117,1860
Texas,TX,48309,McLennan County,"McLennan County, Texas",0.407,83966,1861
Virginia,VA,51650,Hampton city,"Hampton city, Virginia",0.407,52547,1862
Missouri,MO,29169,Pulaski County,"Pulaski County, Missouri",0.407,15718,1863
Arkansas,AR,5055,Greene County,"Greene County, Arkansas",0.407,16457,1864
Texas,TX,48451,Tom Green County,"Tom Green County, Texas",0.407,41796,1865
Tennessee,TN,47119,Maury County,"Maury County, Tennessee",0.407,31977,1866
Kentucky,KY,21067,Fayette County,"Fayette County, Kentucky",0.406,122793,1867
Kentucky,KY,21173,Montgomery County,"Montgomery County, Kentucky",0.406,10093,1868
Kansas,KS,20021,Cherokee County,"Cherokee County, Kansas",0.406,8124,1869
California,CA,6041,Marin County,"Marin County, California",0.406,103152,1870
Utah,UT,49043,Summit County,"Summit County, Utah",0.406,13304,1871
North Carolina,NC,37125,Moore County,"Moore County, North Carolina",0.406,36473,1872
Kansas,KS,20059,Franklin County,"Franklin County, Kansas",0.406,10108,1873
Nebraska,NE,31017,Brown County,"Brown County, Nebraska",0.405,1480,1874
West Virginia,WV,54067,Nicholas County,"Nicholas County, West Virginia",0.405,10366,1875
Nevada,NV,32017,Lincoln County,"Lincoln County, Nevada",0.405,1976,1876
Kansas,KS,20201,Washington County,"Washington County, Kansas",0.404,2473,1877
Ohio,OH,39101,Marion County,"Marion County, Ohio",0.404,24736,1878
Oregon,OR,41009,Columbia County,"Columbia County, Oregon",0.404,19060,1879
Louisiana,LA,22021,Caldwell Parish,"Caldwell Parish, Louisiana",0.404,3961,1880
Rhode Island,RI,44001,Bristol County,"Bristol County, Rhode Island",0.404,19317,1881
Texas,TX,48183,Gregg County,"Gregg County, Texas",0.404,45083,1882
Massachusetts,MA,25017,Middlesex County,"Middlesex County, Massachusetts",0.404,579209,1883
South Carolina,SC,45083,Spartanburg County,"Spartanburg County, South Carolina",0.403,106821,1884
Florida,FL,12099,Palm Beach County,"Palm Beach County, Florida",0.403,523891,1885
Florida,FL,12001,Alachua County,"Alachua County, Florida",0.403,96544,1886
Tennessee,TN,47055,Giles County,"Giles County, Tennessee",0.403,11672,1887
North Carolina,NC,37009,Ashe County,"Ashe County, North Carolina",0.402,11937,1888
Kentucky,KY,21017,Bourbon County,"Bourbon County, Kentucky",0.401,7971,1889
Colorado,CO,8099,Prowers County,"Prowers County, Colorado",0.400,4995,1890
Florida,FL,12011,Broward County,"Broward County, Florida",0.400,665913,1891
Texas,TX,48083,Coleman County,"Coleman County, Texas",0.399,3511,1892
North Carolina,NC,37019,Brunswick County,"Brunswick County, North Carolina",0.398,47181,1893
New York,NY,36063,Niagara County,"Niagara County, New York",0.398,88542,1894
Florida,FL,12039,Gadsden County,"Gadsden County, Florida",0.397,16608,1895
Georgia,GA,13001,Appling County,"Appling County, Georgia",0.397,7047,1896
Pennsylvania,PA,42079,Luzerne County,"Luzerne County, Pennsylvania",0.397,131000,1897
Kansas,KS,20187,Stanton County,"Stanton County, Kansas",0.396,757,1898
Pennsylvania,PA,42055,Franklin County,"Franklin County, Pennsylvania",0.396,58044,1899
Michigan,MI,26139,Ottawa County,"Ottawa County, Michigan",0.396,94389,1900
Pennsylvania,PA,42107,Schuylkill County,"Schuylkill County, Pennsylvania",0.396,60121,1901
Tennessee,TN,47047,Fayette County,"Fayette County, Tennessee",0.396,14412,1902
Colorado,CO,8043,Fremont County,"Fremont County, Colorado",0.395,17200,1903
Texas,TX,48381,Randall County,"Randall County, Texas",0.395,47312,1904
South Dakota,SD,46129,Walworth County,"Walworth County, South Dakota",0.395,2278,1905
Illinois,IL,17097,Lake County,"Lake County, Illinois",0.395,240744,1906
Alabama,AL,1069,Houston County,"Houston County, Alabama",0.395,38732,1907
Nebraska,NE,31031,Cherry County,"Cherry County, Nebraska",0.395,2534,1908
Maryland,MD,24043,Washington County,"Washington County, Maryland",0.394,55798,1909
Georgia,GA,13289,Twiggs County,"Twiggs County, Georgia",0.394,3044,1910
California,CA,6013,Contra Costa County,"Contra Costa County, California",0.394,373145,1911
Indiana,IN,18173,Warrick County,"Warrick County, Indiana",0.393,22406,1912
Colorado,CO,8089,Otero County,"Otero County, Colorado",0.393,7639,1913
New Jersey,NJ,34023,Middlesex County,"Middlesex County, New Jersey",0.392,280141,1914
North Carolina,NC,37183,Wake County,"Wake County, North Carolina",0.392,341303,1915
Georgia,GA,13135,Gwinnett County,"Gwinnett County, Georgia",0.391,264592,1916
Louisiana,LA,22097,St. Landry Parish,"St. Landry Parish, Louisiana",0.391,30725,1917
North Dakota,ND,38105,Williams County,"Williams County, North Dakota",0.390,9742,1918
Texas,TX,48419,Shelby County,"Shelby County, Texas",0.389,9768,1919
Ohio,OH,39029,Columbiana County,"Columbiana County, Ohio",0.388,42476,1920
South Dakota,SD,46077,Kingsbury County,"Kingsbury County, South Dakota",0.388,2319,1921
West Virginia,WV,54079,Putnam County,"Putnam County, West Virginia",0.388,21130,1922
Mississippi,MS,28063,Jefferson County,"Jefferson County, Mississippi",0.388,2578,1923
Oklahoma,OK,40043,Dewey County,"Dewey County, Oklahoma",0.387,1807,1924
West Virginia,WV,54099,Wayne County,"Wayne County, West Virginia",0.387,16783,1925
South Carolina,SC,45041,Florence County,"Florence County, South Carolina",0.387,51671,1926
Iowa,IA,19139,Muscatine County,"Muscatine County, Iowa",0.387,16540,1927
Wisconsin,WI,55059,Kenosha County,"Kenosha County, Wisconsin",0.387,62301,1928
Alabama,AL,1081,Lee County,"Lee County, Alabama",0.387,55350,1929
Virginia,VA,51680,Lynchburg city,"Lynchburg city, Virginia",0.386,28466,1930
Virginia,VA,51067,Franklin County,"Franklin County, Virginia",0.386,23552,1931
North Carolina,NC,37099,Jackson County,"Jackson County, North Carolina",0.386,15539,1932
Florida,FL,12007,Bradford County,"Bradford County, Florida",0.386,9065,1933
Arizona,AZ,4019,Pima County ,"Pima County , Arizona",0.386,382814,1934
North Dakota,ND,38057,Mercer County,"Mercer County, North Dakota",0.386,3630,1935
Connecticut,CT,9009,New Haven County,"New Haven County, Connecticut",0.386,329956,1936
Missouri,MO,29181,Ripley County,"Ripley County, Missouri",0.385,5454,1937
Wisconsin,WI,55049,Iowa County,"Iowa County, Wisconsin",0.385,9612,1938
New York,NY,36043,Herkimer County,"Herkimer County, New York",0.385,26775,1939
Montana,MT,30023,Deer Lodge County,"Deer Lodge County, Montana",0.385,3900,1940
Indiana,IN,18133,Putnam County,"Putnam County, Indiana",0.384,12493,1941
New Jersey,NJ,34021,Mercer County,"Mercer County, New Jersey",0.384,130292,1942
South Dakota,SD,46055,Haakon County,"Haakon County, South Dakota",0.384,782,1943
Georgia,GA,13195,Madison County,"Madison County, Georgia",0.383,9391,1944
Louisiana,LA,22055,Lafayette Parish,"Lafayette Parish, Louisiana",0.383,85578,1945
Oregon,OR,41067,Washington County,"Washington County, Oregon",0.383,200160,1946
Nebraska,NE,31073,Gosper County,"Gosper County, Nebraska",0.383,784,1947
Minnesota,MN,27119,Polk County,"Polk County, Minnesota",0.382,12569,1948
Kentucky,KY,21153,Magoffin County,"Magoffin County, Kentucky",0.381,4985,1949
Kentucky,KY,21185,Oldham County,"Oldham County, Kentucky",0.381,19446,1950
Ohio,OH,39153,Summit County,"Summit County, Ohio",0.380,221296,1951
Tennessee,TN,47013,Campbell County,"Campbell County, Tennessee",0.380,16033,1952
Colorado,CO,8037,Eagle County,"Eagle County, Colorado",0.380,18407,1953
Georgia,GA,13303,Washington County,"Washington County, Georgia",0.380,7107,1954
Tennessee,TN,47035,Cumberland County,"Cumberland County, Tennessee",0.380,23432,1955
Louisiana,LA,22107,Tensas Parish,"Tensas Parish, Louisiana",0.380,2107,1956
Pennsylvania,PA,42083,McKean County,"McKean County, Pennsylvania",0.379,17394,1957
Kansas,KS,20149,Pottawatomie County,"Pottawatomie County, Kansas",0.379,7908,1958
Florida,FL,12031,Duval County,"Duval County, Florida",0.379,330302,1959
Ohio,OH,39087,Lawrence County,"Lawrence County, Ohio",0.379,23990,1960
Minnesota,MN,27149,Stevens County,"Stevens County, Minnesota",0.379,3691,1961
North Carolina,NC,37077,Granville County,"Granville County, North Carolina",0.379,19788,1962
Michigan,MI,26067,Ionia County,"Ionia County, Michigan",0.379,22448,1963
Colorado,CO,8069,Larimer County,"Larimer County, Colorado",0.378,120592,1964
South Carolina,SC,45013,Beaufort County,"Beaufort County, South Carolina",0.378,64042,1965
Georgia,GA,13077,Coweta County,"Coweta County, Georgia",0.378,46316,1966
Texas,TX,48377,Presidio County,"Presidio County, Texas",0.377,2654,1967
Georgia,GA,13019,Berrien County,"Berrien County, Georgia",0.376,7175,1968
Nebraska,NE,31167,Stanton County,"Stanton County, Nebraska",0.376,2392,1969
South Carolina,SC,45055,Kershaw County,"Kershaw County, South Carolina",0.376,23950,1970
Michigan,MI,26101,Manistee County,"Manistee County, Michigan",0.376,10648,1971
Tennessee,TN,47079,Henry County,"Henry County, Tennessee",0.376,13314,1972
California,CA,6109,Tuolumne County,"Tuolumne County, California",0.375,22105,1973
Texas,TX,48477,Washington County,"Washington County, Texas",0.375,12279,1974
Utah,UT,49049,Utah County,"Utah County, Utah",0.375,141252,1975
New York,NY,36075,Oswego County,"Oswego County, New York",0.374,45753,1976
Montana,MT,30091,Sheridan County,"Sheridan County, Montana",0.374,1606,1977
Mississippi,MS,28039,George County,"George County, Mississippi",0.374,8031,1978
Colorado,CO,8073,Lincoln County,"Lincoln County, Colorado",0.374,1874,1979
Kansas,KS,20147,Phillips County,"Phillips County, Kansas",0.373,2411,1980
New York,NY,36055,Monroe County,"Monroe County, New York",0.373,294726,1981
Missouri,MO,29095,Jackson County,"Jackson County, Missouri",0.373,270645,1982
Maryland,MD,24035,Queen Anne's County,"Queen Anne's County, Maryland",0.373,17165,1983
Indiana,IN,18097,Marion County,"Marion County, Indiana",0.373,359438,1984
South Carolina,SC,45079,Richland County,"Richland County, South Carolina",0.372,143212,1985
Minnesota,MN,27091,Martin County,"Martin County, Minnesota",0.371,8887,1986
Kansas,KS,20131,Nemaha County,"Nemaha County, Kansas",0.371,4046,1987
Iowa,IA,19181,Warren County,"Warren County, Iowa",0.371,17265,1988
New Mexico,NM,35037,Quay County,"Quay County, New Mexico",0.370,3509,1989
South Carolina,SC,45019,Charleston County,"Charleston County, South Carolina",0.370,140932,1990
North Carolina,NC,37017,Bladen County,"Bladen County, North Carolina",0.369,14082,1991
Tennessee,TN,47039,Decatur County,"Decatur County, Tennessee",0.369,5147,1992
New York,NY,36029,Erie County,"Erie County, New York",0.369,379980,1993
Connecticut,CT,9015,Windham County,"Windham County, Connecticut",0.369,43909,1994
Tennessee,TN,47043,Dickson County,"Dickson County, Tennessee",0.368,18743,1995
North Carolina,NC,37035,Catawba County,"Catawba County, North Carolina",0.368,58695,1996
Indiana,IN,18103,Miami County,"Miami County, Indiana",0.368,13320,1997
Texas,TX,48485,Wichita County,"Wichita County, Texas",0.368,48135,1998
Pennsylvania,PA,42007,Beaver County,"Beaver County, Pennsylvania",0.368,70715,1999
Connecticut,CT,9003,Hartford County,"Hartford County, Connecticut",0.367,349158,2000
Maine,ME,23031,York County,"York County, Maine",0.367,80908,2001
Tennessee,TN,47149,Rutherford County,"Rutherford County, Tennessee",0.367,95347,2002
Kentucky,KY,21029,Bullitt County,"Bullitt County, Kentucky",0.367,27791,2003
Kentucky,KY,21111,Jefferson County,"Jefferson County, Kentucky",0.367,303915,2004
Illinois,IL,17049,Effingham County,"Effingham County, Illinois",0.366,13643,2005
New York,NY,36049,Lewis County,"Lewis County, New York",0.366,10657,2006
Colorado,CO,8041,El Paso County,"El Paso County, Colorado",0.365,234058,2007
Texas,TX,48423,Smith County,"Smith County, Texas",0.364,77916,2008
Ohio,OH,39133,Portage County,"Portage County, Ohio",0.364,61016,2009
Idaho,ID,16007,Bear Lake County,"Bear Lake County, Idaho",0.364,2474,2010
New York,NY,36067,Onondaga County,"Onondaga County, New York",0.363,185036,2011
Oregon,OR,41059,Umatilla County,"Umatilla County, Oregon",0.362,26786,2012
Florida,FL,12015,Charlotte County,"Charlotte County, Florida",0.362,71287,2013
Oklahoma,OK,40117,Pawnee County,"Pawnee County, Oklahoma",0.361,6366,2014
Georgia,GA,13085,Dawson County,"Dawson County, Georgia",0.361,8310,2015
Washington,WA,53061,Snohomish County,"Snohomish County, Washington",0.361,268546,2016
Utah,UT,49023,Juab County,"Juab County, Utah",0.361,3049,2017
Texas,TX,48089,Colorado County,"Colorado County, Texas",0.360,8048,2018
Wyoming,WY,56015,Goshen County,"Goshen County, Wyoming",0.360,5277,2019
Ohio,OH,39081,Jefferson County,"Jefferson County, Ohio",0.360,28608,2020
Vermont,VT,50011,Franklin County,"Franklin County, Vermont",0.360,18629,2021
Illinois,IL,17109,McDonough County,"McDonough County, Illinois",0.359,12798,2022
North Carolina,NC,37157,Rockingham County,"Rockingham County, North Carolina",0.359,37844,2023
Kentucky,KY,21177,Muhlenberg County,"Muhlenberg County, Kentucky",0.359,11974,2024
Pennsylvania,PA,42093,Montour County,"Montour County, Pennsylvania",0.358,7268,2025
Kentucky,KY,21081,Grant County,"Grant County, Kentucky",0.357,8674,2026
Texas,TX,48001,Anderson County,"Anderson County, Texas",0.357,16245,2027
California,CA,6039,Madera County,"Madera County, California",0.357,42063,2028
Georgia,GA,13171,Lamar County,"Lamar County, Georgia",0.356,6458,2029
Virginia,VA,51107,Loudoun County,"Loudoun County, Virginia",0.356,104195,2030
Nevada,NV,32021,Mineral County,"Mineral County, Nevada",0.356,2249,2031
Kentucky,KY,21183,Ohio County,"Ohio County, Kentucky",0.356,8719,2032
New Jersey,NJ,34027,Morris County,"Morris County, New Jersey",0.355,179712,2033
