Statename,State,FIPS,COUNTY,checker,plumbing,total,rank
Texas,TX,48253,Jones County,"Jones County, Texas",1.779,5566,226
Indiana,IN,18153,Sullivan County,"Sullivan County, Indiana",1.777,7878,227
Wisconsin,WI,55107,Rusk County,"Rusk County, Wisconsin",1.773,6542,228
Kentucky,KY,21045,Casey County,"Casey County, Kentucky",1.769,6162,229
Minnesota,MN,27075,Lake County,"Lake County, Minnesota",1.768,5091,230
Indiana,IN,18025,Crawford County,"Crawford County, Indiana",1.761,4259,231
Florida,FL,12073,Leon County,"Leon County, Florida",1.756,109560,232
Illinois,IL,17061,Greene County,"Greene County, Illinois",1.754,5816,233
Tennessee,TN,47129,Morgan County,"Morgan County, Tennessee",1.753,7646,234
Texas,TX,48459,Upshur County,"Upshur County, Texas",1.748,14643,235
Maine,ME,23007,Franklin County,"Franklin County, Maine",1.748,12243,236
Montana,MT,30077,Powell County,"Powell County, Montana",1.746,2406,237
Maine,ME,23009,Hancock County,"Hancock County, Maine",1.742,23875,238
Alabama,AL,1105,Perry County,"Perry County, Alabama",1.738,3509,239
Wyoming,WY,56035,Sublette County,"Sublette County, Wyoming",1.732,3522,240
West Virginia,WV,54017,Doddridge County,"Doddridge County, West Virginia",1.731,2773,241
Oklahoma,OK,40107,Okfuskee County,"Okfuskee County, Oklahoma",1.731,4218,242
Washington,WA,53065,Stevens County,"Stevens County, Washington",1.730,17634,243
Montana,MT,30075,Powder River County,"Powder River County, Montana",1.729,694,244
Missouri,MO,29017,Bollinger County,"Bollinger County, Missouri",1.728,4803,245
Colorado,CO,8003,Alamosa County,"Alamosa County, Colorado",1.726,5853,246
Kentucky,KY,21169,Metcalfe County,"Metcalfe County, Kentucky",1.723,3947,247
West Virginia,WV,54087,Roane County,"Roane County, West Virginia",1.719,5817,248
Illinois,IL,17003,Alexander County,"Alexander County, Illinois",1.719,3084,249
Alabama,AL,1013,Butler County,"Butler County, Alabama",1.718,8149,250
Oklahoma,OK,40097,Mayes County,"Mayes County, Oklahoma",1.716,16199,251
Iowa,IA,19019,Buchanan County,"Buchanan County, Iowa",1.715,8104,252
Utah,UT,49025,Kane County,"Kane County, Utah",1.713,3210,253
North Dakota,ND,38007,Billings County,"Billings County, North Dakota",1.709,351,254
Oregon,OR,41017,Deschutes County,"Deschutes County, Oregon",1.708,64459,255
Virginia,VA,51027,Buchanan County,"Buchanan County, Virginia",1.705,9384,256
Iowa,IA,19115,Louisa County,"Louisa County, Iowa",1.693,4312,257
Wisconsin,WI,55003,Ashland County,"Ashland County, Wisconsin",1.690,6804,258
Virginia,VA,51093,Isle of Wight County,"Isle of Wight County, Virginia",1.686,13585,259
Tennessee,TN,47007,Bledsoe County,"Bledsoe County, Tennessee",1.685,4570,260
Idaho,ID,16035,Clearwater County,"Clearwater County, Idaho",1.685,3621,261
Hawaii,HI,15007,Kauai County,"Kauai County, Hawaii",1.679,22092,262
Montana,MT,30017,Custer County,"Custer County, Montana",1.675,5075,263
Montana,MT,30035,Glacier County,"Glacier County, Montana",1.673,4245,264
Nebraska,NE,31015,Boyd County,"Boyd County, Nebraska",1.669,899,265
Nebraska,NE,31005,Arthur County,"Arthur County, Nebraska",1.667,180,266
Wisconsin,WI,55103,Richland County,"Richland County, Wisconsin",1.664,7391,267
Alabama,AL,1037,Coosa County,"Coosa County, Alabama",1.662,4573,268
Ohio,OH,39075,Holmes County,"Holmes County, Ohio",1.658,12183,269
Pennsylvania,PA,42039,Crawford County,"Crawford County, Pennsylvania",1.658,35232,270
